project_id,field,current_value,proposed_value,source_url,source_date,confidence,requires_filing_read
184,total_gsf,2041000,1883367,https://www.bostonplans.org/projects/development-projects/fenway-corners-west,2026-08-31,probable,no
14,total_gsf,1739000,1559000,https://www.bostonplans.org/projects/development-projects/reserved-channel,2026-08-31,probable,no
168,total_gsf,1386500,487400,https://www.bostonplans.org/projects/development-projects/505-dorchester-avenue,2026-08-31,confirmed,no
170,total_gsf,1386500,510900,https://www.bostonplans.org/projects/development-projects/65-ellery-street,2026-08-31,confirmed,no
172,total_gsf,1386500,388200,https://www.bostonplans.org/projects/development-projects/75-ellery-street,2026-08-31,confirmed,no
366,total_gsf,1371480,1453000,https://www.bostonplans.org/projects/development-projects/back-bay-south-end-gateway-project,2026-08-31,probable,no
287,total_gsf,1147000,1073000,https://www.bostonplans.org/projects/development-projects/323-365-dorchester-avenue,2026-08-31,probable,no
247,total_gsf,808000,790000,https://www.bostonplans.org/projects/development-projects/176-lincoln-street,2026-08-31,probable,no
174,total_gsf,802000,812000,https://www.bostonplans.org/projects/development-projects/66-cambridge-street,2026-08-31,probable,no
69,total_gsf,790000,126000,https://www.bostonplans.org/projects/development-projects/austin-street-lots-redevelopment,2026-08-31,probable,no
267,total_gsf,754500,746000,https://www.bostonplans.org/projects/development-projects/776-summer-street-phase-1,2026-08-31,probable,no
252,total_gsf,742000,764260,https://www.bostonplans.org/projects/development-projects/parcel-x-310-northern-avenue,2026-08-31,probable,no
246,total_gsf,700000,810000,https://www.bostonplans.org/projects/development-projects/1170-soldiers-field-road,2026-08-31,probable,no
363,total_gsf,689000,439500,https://www.bostonplans.org/projects/development-projects/1000-boylston-street,2026-08-31,confirmed,no
353,total_gsf,685000,731000,https://www.bostonplans.org/projects/development-projects/motor-mart-garage,2026-08-31,probable,no
228,total_gsf,684450,571500,https://www.bostonplans.org/projects/development-projects/88-black-falcon-avenue,2026-08-31,probable,no
266,total_gsf,602200,611300,https://www.bostonplans.org/projects/development-projects/seaport-circle-project,2026-08-31,probable,no
128,total_gsf,551200,268852,https://www.bostonplans.org/projects/development-projects/17-bradston-street,2026-08-31,probable,no
146,total_gsf,547200,141950,https://www.bostonplans.org/projects/development-projects/faneuil-gardens,2026-08-31,probable,no
328,total_gsf,535000,456000,https://www.bostonplans.org/projects/development-projects/dock-square-garage,2026-08-31,probable,no
66,total_gsf,478880,289344,https://www.bostonplans.org/projects/development-projects/one-mystic-avenue,2026-08-31,probable,no
314,total_gsf,462900,463900,https://www.bostonplans.org/projects/development-projects/bremen-orleans-development,2026-08-31,probable,no
167,total_gsf,455000,324315,https://www.bostonplans.org/projects/development-projects/232-a-street,2026-08-31,probable,no
304,total_gsf,446112,317664,https://www.bostonplans.org/projects/development-projects/jan-karski-way-extension,2026-08-31,probable,no
119,total_gsf,420800,429700,https://www.bostonplans.org/projects/development-projects/60-80-kilmarnock-street,2026-08-31,probable,no
231,total_gsf,409395,400526,https://www.bostonplans.org/projects/development-projects/155-north-beacon-street,2026-08-31,probable,no
29,total_gsf,400000,179667,https://www.bostonplans.org/projects/development-projects/45-townsend-street,2026-08-31,probable,no
303,total_gsf,398000,280900,https://www.bostonplans.org/projects/development-projects/819-beacon-street,2026-08-31,probable,no
156,total_gsf,393000,348100,https://www.bostonplans.org/projects/development-projects/olmsted-village,2026-08-31,probable,no
182,total_gsf,358258,309604,https://www.bostonplans.org/projects/development-projects/495-dorchester-avenue,2026-08-31,confirmed,no
339,total_gsf,356000,259000,https://www.bostonplans.org/projects/development-projects/allston-green,2026-08-31,probable,no
315,total_gsf,349000,351000,https://www.bostonplans.org/projects/development-projects/220-huntington-avenue,2026-08-31,probable,no
238,total_gsf,348395,316315,https://www.bostonplans.org/projects/development-projects/residences-at-readville-station,2026-08-31,probable,no
17,total_gsf,346022,271133,https://www.bostonplans.org/projects/development-projects/drexel-village,2026-08-31,probable,no
64,total_gsf,345000,341576,https://www.bostonplans.org/projects/development-projects/990-american-legion-highway,2026-08-31,probable,no
358,total_gsf,343800,350300,https://www.bostonplans.org/projects/development-projects/10-stack-street,2026-08-31,probable,no
122,total_gsf,341500,308133,https://www.bostonplans.org/projects/development-projects/83-leo-m-birmingham-parkway,2026-08-31,probable,no
164,total_gsf,311000,304000,https://www.bostonplans.org/projects/development-projects/22-24-pratt-street,2026-08-31,probable,no
261,total_gsf,311000,266650,https://www.bostonplans.org/projects/development-projects/41-berkeley-street,2026-08-31,probable,no
237,total_gsf,295020,248450,https://www.bostonplans.org/projects/development-projects/18-22-arboretum-road,2026-08-31,probable,no
375,total_gsf,292000,289290,https://www.bostonplans.org/projects/development-projects/22-boston-wharf-road,2026-08-31,probable,no
362,total_gsf,285253,293193,https://www.bostonplans.org/projects/development-projects/rio-grande,2026-08-31,probable,no
326,total_gsf,282382,289073,https://www.bostonplans.org/projects/development-projects/135-dudley-street,2026-08-31,probable,no
190,total_gsf,265000,245000,https://www.bostonplans.org/projects/development-projects/103-north-beacon-street,2026-08-31,probable,no
154,total_gsf,254000,285000,https://www.bostonplans.org/projects/development-projects/2-charlesgate-west,2026-08-31,probable,no
239,total_gsf,253993,129525,https://www.bostonplans.org/projects/development-projects/3390-washington-street,2026-08-31,probable,no
213,total_gsf,253288,341911,https://www.bostonplans.org/projects/development-projects/15-washington-street,2026-08-31,probable,no
219,total_gsf,250664,199016,https://www.bostonplans.org/projects/development-projects/1141-bennington-street,2026-08-31,probable,no
14,land_sq_ft,(column does not exist),1306800,https://www.bostonplans.org/projects/development-projects/reserved-channel,2026-08-31,confirmed,no
17,land_sq_ft,(column does not exist),110400,https://www.bostonplans.org/projects/development-projects/drexel-village,2026-08-31,confirmed,no
29,land_sq_ft,(column does not exist),211277,https://www.bostonplans.org/projects/development-projects/45-townsend-street,2026-08-31,confirmed,no
53,land_sq_ft,(column does not exist),149126,https://www.bostonplans.org/projects/development-projects/244-284-a-street,2026-08-31,confirmed,no
64,land_sq_ft,(column does not exist),615526,https://www.bostonplans.org/projects/development-projects/990-american-legion-highway,2026-08-31,confirmed,no
66,land_sq_ft,(column does not exist),60089,https://www.bostonplans.org/projects/development-projects/one-mystic-avenue,2026-08-31,confirmed,no
69,land_sq_ft,(column does not exist),53959,https://www.bostonplans.org/projects/development-projects/austin-street-lots-redevelopment,2026-08-31,confirmed,no
102,land_sq_ft,(column does not exist),97969,https://www.bostonplans.org/projects/development-projects/northeastern-university-matthews-arena-project,2026-08-31,confirmed,no
119,land_sq_ft,(column does not exist),74263,https://www.bostonplans.org/projects/development-projects/60-80-kilmarnock-street,2026-08-31,confirmed,no
122,land_sq_ft,(column does not exist),88583,https://www.bostonplans.org/projects/development-projects/83-leo-m-birmingham-parkway,2026-08-31,confirmed,no
126,land_sq_ft,(column does not exist),79114,https://www.bostonplans.org/projects/development-projects/250-everett-street,2026-08-31,confirmed,no
128,land_sq_ft,(column does not exist),50282,https://www.bostonplans.org/projects/development-projects/17-bradston-street,2026-08-31,confirmed,no
146,land_sq_ft,(column does not exist),98500,https://www.bostonplans.org/projects/development-projects/faneuil-gardens,2026-08-31,confirmed,no
150,land_sq_ft,(column does not exist),132129,https://www.bostonplans.org/projects/development-projects/wentworth-500-huntington-avenue,2026-08-31,confirmed,no
154,land_sq_ft,(column does not exist),20344,https://www.bostonplans.org/projects/development-projects/2-charlesgate-west,2026-08-31,confirmed,no
164,land_sq_ft,(column does not exist),96445,https://www.bostonplans.org/projects/development-projects/22-24-pratt-street,2026-08-31,confirmed,no
167,land_sq_ft,(column does not exist),103465,https://www.bostonplans.org/projects/development-projects/232-a-street,2026-08-31,confirmed,no
168,land_sq_ft,(column does not exist),104840,https://www.bostonplans.org/projects/development-projects/505-dorchester-avenue,2026-08-31,confirmed,no
170,land_sq_ft,(column does not exist),101195,https://www.bostonplans.org/projects/development-projects/65-ellery-street,2026-08-31,confirmed,no
172,land_sq_ft,(column does not exist),94290,https://www.bostonplans.org/projects/development-projects/75-ellery-street,2026-08-31,confirmed,no
174,land_sq_ft,(column does not exist),175980,https://www.bostonplans.org/projects/development-projects/66-cambridge-street,2026-08-31,confirmed,no
175,land_sq_ft,(column does not exist),41931,https://www.bostonplans.org/projects/development-projects/south-boston-innovation-campus,2026-08-31,confirmed,no
182,land_sq_ft,(column does not exist),53971,https://www.bostonplans.org/projects/development-projects/495-dorchester-avenue,2026-08-31,confirmed,no
183,land_sq_ft,(column does not exist),104440,https://www.bostonplans.org/projects/development-projects/1400-boylston-street,2026-08-31,confirmed,no
184,land_sq_ft,(column does not exist),193715,https://www.bostonplans.org/projects/development-projects/fenway-corners-west,2026-08-31,confirmed,no
190,land_sq_ft,(column does not exist),67586,https://www.bostonplans.org/projects/development-projects/103-north-beacon-street,2026-08-31,confirmed,no
203,land_sq_ft,(column does not exist),186818,https://www.bostonplans.org/projects/development-projects/40-roland-street,2026-08-31,confirmed,no
210,land_sq_ft,(column does not exist),87879,https://www.bostonplans.org/projects/development-projects/nubian-square-ascends,2026-08-31,confirmed,no
213,land_sq_ft,(column does not exist),99787,https://www.bostonplans.org/projects/development-projects/15-washington-street,2026-08-31,confirmed,no
219,land_sq_ft,(column does not exist),81231,https://www.bostonplans.org/projects/development-projects/1141-bennington-street,2026-08-31,confirmed,no
228,land_sq_ft,(column does not exist),458725,https://www.bostonplans.org/projects/development-projects/88-black-falcon-avenue,2026-08-31,confirmed,no
